StudentID,FullName,Major,TotalScore,FinalGrade
6401001,Somchai Jaidee,Computer Engineering,88.0,A
6401002,Somsri Rakdee,Computer Engineering,82.0,A
6401003,Mana Petch,Civil Engineering,70.0,B
6401004,Chujai Klaew,Electrical Engineering,94.8,A
6401005,Piti Yindee,Computer Engineering,86.0,A
6401006,Malee Boonma,Civil Engineering,71.2,B
6401007,Weera Chokdee,Electrical Engineering,80.0,A
6401008,Jinda Suksai,Computer Engineering,96.8,A
6401009,Arun Rungrueng,Industrial Engineering,58.0,D+
6401010,Naree Ngamdee,Civil Engineering,76.4,B+
6401011,David Smith,Computer Engineering,99.2,A
6401012,Emily Jones,Electrical Engineering,72.8,B
6401013,Michael Brown,Civil Engineering,82.0,A
6401014,Jessica Davis,Computer Engineering,86.8,A
6401015,Chris Wilson,Industrial Engineering,66.0,C+
